Date,Time,Voltage,Current,Power_Consumption,Power_Factor,Frequency,Energy_Consumed,Device_Status
2026-03-04,21:00:00,218.5,12.32,2153.54,0.8,50.1,4.393,ON
2026-03-04,22:00:00,213.7,8.51,1509.43,0.83,50.18,2.318,ON
2026-03-04,23:00:00,211.8,5.61,1140.67,0.96,49.98,2.399,ON
2026-03-05,00:00:00,233.4,17.8,3780.61,0.91,50.18,8.631,ON
2026-03-05,01:00:00,231.4,13.37,2784.44,0.9,50.13,4.443,ON
2026-03-05,02:00:00,241.4,13.77,2958.43,0.89,49.9,2.942,ON
2026-03-05,03:00:00,232.3,14.14,2956.25,0.9,50.05,3.102,ON
2026-03-05,04:00:00,212.7,6.21,1122.74,0.85,49.93,1.774,ON
2026-03-05,05:00:00,214.8,5.32,1062.74,0.93,50.08,0.668,ON
2026-03-05,06:00:00,224.3,10.45,2062.66,0.88,49.88,2.765,ON
2026-03-05,07:00:00,241.7,11.14,2504.06,0.93,50.14,5.086,ON
2026-03-05,08:00:00,223.3,1.6,310.83,0.87,50.1,0.686,OFF
2026-03-05,09:00:00,243.4,8.41,1924.17,0.94,50.02,3.284,ON
2026-03-05,10:00:00,217.7,5.12,980.87,0.88,49.81,1.15,ON
2026-03-05,11:00:00,233.8,8.17,1585.42,0.83,49.99,1.197,ON
